Attr1;Attr2;Attr3;Attr4;Attr5;Attr6;Attr7;Attr8;Attr9;Attr10;Attr11;Attr12;Attr13;Attr14;Attr15;Attr16;Attr17;Attr18;Attr19;Attr20;Attr21;Attr22;Attr23;Attr24;Attr25;Attr26;Attr27;Attr28;Attr29;Attr30;Attr31;Attr32;Attr33;Attr34;Attr35;Attr36;Attr37;Attr38;Attr39;Attr40;Attr41;Attr42;Attr43;Attr44;Attr45;Attr46;Attr47;Attr48;Attr49;Attr50;Attr51;Attr52;Attr53;Attr54;Attr55;Attr56;Attr57;Attr58;Attr59;Attr60;Attr61;Attr62;Attr63;Attr64;class;;Ratio de solvencia;Inmovilizado(>1 ok);ROE;Ratio Beaveur;A;B;C;D;E;RATIO ALTMAN
0,24001;0,44355;0,18835;1,44;-21,165;-0,9319;0,24001;12,545;47,447;0,55645;0,24227;0,56072;0,1951;0,24001;174,89;2,087;22,545;0,24001;0,050585;22,027;16,856;0;0,050585;?;-0,63075;2,087;0;0,491;32,184;0,091302;0,1082;50,94;71,653;69,146;0,01533;47,447;?;0,55645;0,003231;0,12237;0,021562;0;43,388;21,361;0,83822;0,7711;34,076;-0,6857;-0,14452;13,897;0,42804;0,13956;14,505;14,505;311,43;0,35359;0,43132;0,64794;0;16,571;17,087;32,928;11,085;12,369;0;;22,545;14,505;0,83822;2087;0,18835;0,24001;0,24001;0,55645;47,447;49,134937
-0,027117;0,11148;0,11989;20,754;-31,643;-0,084883;-0,0243;76,741;0,90732;0,85551;-0,0243;-0,21798;0,10164;-0,0243;754,95;0,48347;89,702;-0,0243;-0,045825;99,502;11,625;-0,024649;-0,051136;-0,076857;0,85551;0,45821;-0,42174;0,15597;40,568;0,1582;-0,045825;69,621;52,427;-0,22111;-0,024649;0,58684;?;0,85551;-0,046482;0,42528;0,068443;-0,046482;126,62;27,115;-0,18758;0,77866;90,281;-0,10285;-0,19395;20,754;0,11148;0,19074;1,113;1,113;1366,5;-0,10214;-0,031697;11,021;0;36,683;13,461;76,732;47,568;0,68991;0;;89,702;1,113;-0,18758;0,48347;0,11989;-0,027117;-0,0243;0,85551;0,90732;1,4463402
0,26669;0,34994;0,61147;30,243;43,087;0,55983;0,33207;18,577;11,268;0,65006;0,33207;10,993;0,12047;0,33207;367,04;0,99444;28,577;0,33207;0,11496;38,183;10,581;0,30471;0,092322;0,51586;0,65006;0,80759;11,885;70,728;39,412;0,088635;0,11496;43,006;84,871;0,87075;0,30471;29,161;12,773;0,69793;0,10548;0,32525;0,035883;0,10548;103,02;64,834;0,88253;20,239;43,023;0,28879;0,099972;26,106;0,30207;0,11783;75,192;80,728;5340;0,1125;0,41025;0,8875;0,07363;95,593;56,298;38,168;95,629;33,413;0;;28,577;80,728;0,88253;0,99444;0,61147;0,26669;0,33207;0,65006;11,268;13,860997
0,067731;0,19885;0,081562;29,576;90,606;0,21265;0,078063;4,029;1,257;0,80115;0,078063;18,736;0,31036;0,078063;926,03;0,39415;5,029;0,078063;0,30912;44,446;11,848;0,05373;0,2682;0,24604;0,80115;0,3422;26,744;0,093025;52,684;0,7807;0,30912;75,693;48,221;0,27021;0,05373;0,27897;0,58833;0,95834;0,21276;0,048375;0,12097;0,21276;175,19;130,74;22,025;22,195;55,868;0,053417;0,21152;0,61971;0,041664;0,20738;0,91375;1,093;15132;0,20444;0,084542;0,79556;0,19619;82,122;27,917;60,218;60,613;0,28803;0;;5,029;1,093;22,025;0,39415;0,081562;0,067731;0,078063;0,80115;1,257;2,1879957
-0,029182;0,21131;0,45264;75,746;57,844;0,010387;-0,034653;37,324;10,241;0,78869;-0,034653;-0,50333;0,004191;-0,034653;23292;0,015671;47,324;-0,034653;-0,043861;105,35;0,99083;-0,050624;-0,036936;0,016014;0,78869;0,041561;-0,65622;0,94595;48,827;0,11935;-0,043861;32,575;11,205;-0,23957;-0,050624;0,80603;20,599;0,93115;-0,064076;32,502;-0,54879;-0,064076;137,54;32,193;-0,12797;42,624;107,89;-0,088588;-0,11213;24,679;0,068848;0,089246;16,482;1,946;34549;0,023565;-0,037001;0,97644;0,18063;34,646;11,338;31,807;11,475;16,511;0;;47,324;1,946;-0,12797;0,015671;0,45264;-0,029182;-0,034653;0,78869;10,241;11,1021723
-0,033801;1,154;-0,20599;0,8215;-74,451;-0,10413;-0,033801;-0,159;0,97767;-0,18349;-0,033801;-0,029291;-0,012483;-0,033801;-14644;-0,024924;0,86657;-0,033801;-0,01467;44,032;11,049;-0,06741;-0,01467;-0,10413;-0,18349;-0,024924;-0,28604;-39,602;5,438;0,46412;-0,01467;178,73;20,422;-0,058416;-0,06741;23,722;?;-0,18349;-0,029258;0,075411;-0,60828;-0,029258;136,39;92,361;-0,12161;0,58064;43,049;-0,072449;-0,031445;0,8215;1,154;0,48967;-35,277;-35,277;-56473;-0,022837;0,18421;10,228;0;82,894;39,519;182,81;19,966;44,296;0;;0,86657;-35,277;-0,12161;-0,024924;-0,20599;-0,033801;-0,033801;-0,18349;0,97767;0,4615233
0,27053;0,29913;0,4687;25,669;73,395;0,72793;0,33619;22,315;12,214;0,6675;0,33619;11,239;0,20684;0,33619;291,52;12,521;3,343;0,33619;0,18567;32,984;11,281;0,33518;0,1494;0,9098;0,6675;10,326;22,609;20,187;4,341;0,078511;0,18567;73,647;49,561;11,205;0,33518;18,415;?;0,6675;0,1851;0,56029;0,026329;0,1851;120,99;88,006;16,533;20,198;40,287;0,29684;0,16393;25,669;0,29913;0,20177;2,875;2,875;10278;0,18127;0,40529;0,81873;0;11,066;41,474;60,297;60,534;7,799;0;;3,343;2,875;16,533;12521;0,4687;0,27053;0,33619;0,6675;12,214;14,665109
0,028084;0,24231;0,43224;30,128;47,935;0,021598;0,039729;31,037;10,125;0,75206;0,039729;0,185;0,04419;0,039729;1059,3;0,34458;4,127;0,039729;0,021027;36,232;0,78628;0,054953;0,014863;0,03447;0,75206;0,29652;0,29448;12,244;44,729;-0,033048;0,021027;42,004;86,896;0,22679;0,054953;19,341;16,67;0,77962;0,029084;14,286;0,080697;0,029084;65,719;29,487;0,14973;21,394;36,686;0,011187;0,005921;26,701;0,21475;0,11508;21,304;22,085;12841;0,012367;0,037342;0,98763;0,036647;10,074;12,378;41,485;87,984;53,523;0;;4,127;22,085;0,14973;0,34458;0,43224;0,028084;0,039729;0,75206;10,125;11,2653473
0,20393;0,56037;0,13495;12,408;3,158;0;0,24291;0,78452;22,706;0,43963;0,24991;0,43347;0,117;0,24291;769,91;0,47408;17,845;0,24291;0,10698;14,612;17,474;0,23173;0,089812;?;0,40929;0,40452;33,062;0,44293;37,222;0,08514;0,10764;100,95;36,156;36,156;0,24454;22,706;?;0,43963;0,1077;0,70226;0,0734;0,10206;48,514;33,901;22,434;10,786;16,376;0,20897;0,092033;12,408;0,56037;0,27658;14,429;14,429;711,85;0,1077;0,46386;0,89419;0;24,979;10,767;90,08;40,519;74,525;0;;17,845;14,429;22,434;0,47408;0,13495;0,20393;0,24291;0,43963;22,706;24,218823
0,20876;0,4965;0,42548;2,019;38,934;0,005436;0,25619;10,141;22,827;0,5035;0,26624;0,61357;0,14063;0,25619;564,55;0,64654;20,141;0,25619;0,11223;28,801;12,501;0,26383;0,091453;?;0,43302;0,55101;26,249;27,105;41,519;0,15914;0,11311;75,269;48,493;40,781;0,25792;22,827;28,044;0,52714;0,11299;0,39905;0,050359;0,11558;108,16;79,356;1,159;15,876;32,469;0,19901;0,087182;16,979;0,41754;0,20622;32,075;33,581;6037,1;0,11299;0,41462;0,88859;0,046947;12,673;45,996;66,764;5,467;14,542;0;;20,141;33,581;1,159;0,64654;0,42548;0,20876;0,25619;0,5035;22,827;24,777367
0,11119;0,63174;0,24796;2;58,154;0,24347;0,13909;0,58294;0,99034;0,36826;0,16821;0,56092;0,14828;0,13909;1570,3;0,23244;15,829;0,13909;0,14044;37,267;?;0,15215;0,11227;?;0,35465;0,18828;52,243;0,49203;38,662;0,6346;0,15363;107,84;33,847;13,285;0,15106;0,99034;10,402;0,74782;0,15254;0,063666;0,13169;0,15363;176,96;139,69;10,996;15,922;43,975;0,14439;0,1458;0,78501;0,24796;0,29544;0,73076;14,839;1822;0,15254;0,30192;0,86275;10,307;97,941;26,129;91,388;3,994;19,652;0;;15,829;14,839;10,996;0,23244;0,24796;0,11119;0,13909;0,36826;0,99034;2,123511
-0,30505;12,523;-0,29222;0,71426;-214,91;-0,30505;-0,30505;-0,25344;0,77037;-0,31738;-0,30505;-0,29829;-0,33838;-0,30505;-1620,6;-0,22523;0,79852;-0,30505;-0,36596;147,44;?;-0,33399;-0,36596;-0,30505;-0,31738;-0,22523;-30,867;-10,841;45,134;14,617;-0,36596;344,98;1,058;-0,2667;-0,33399;0,87221;17,147;-0,087747;-0,40068;0,036354;-0,13239;-0,40068;303,57;156,13;-0,90598;0,38501;113,58;-0,35698;-0,42826;0,58328;10,227;0,94515;-11,775;-0,32554;-9531,1;-0,29809;0,96115;12,981;-0,72353;24,756;23,377;447,81;0,81507;30,925;0;;0,79852;-0,32554;-0,90598;-0,22523;-0,29222;-0,30505;-0,30505;-0,31738;0,77037;-1,204457
0,12709;0,5305;0,38069;17,198;-27,618;0;0,15611;0,885;21,322;0,4695;0,17832;0,29516;0,098824;0,15611;918,94;0,3972;1,885;0,15611;0,073216;90,436;?;0,12362;0,059602;?;0,44796;0,34248;55,662;42,112;33,658;0,23841;0,073545;95,696;38,142;38,027;0,11488;21,322;?;0,4695;0,053877;0,047503;0,099222;0,057977;151,41;60,971;0,24056;0,72092;95,586;0,069017;0,032368;17,146;0,52891;0,26218;51,936;51,936;883,77;0,053878;0,27068;0,92918;0;4,036;59,864;90,54;40,314;23,587;0;;1,885;51,936;0,24056;0,3972;0,38069;0,12709;0,15611;0,4695;21,322;22,753617
0,12624;0,66286;0,21916;13,553;21,588;0,020227;0,15633;0,50862;1,713;0,33714;0,15937;0,25346;0,11511;0,15633;1227;0,29747;15,086;0,15633;0,09126;26,912;1,344;0,15293;0,073699;?;0,32996;0,25209;50,281;13,358;38,428;0,37781;0,093036;144,29;25,297;23,538;0,15277;1,713;19,063;0,37437;0,089183;0,028266;0,11402;0,089279;174,4;147,49;0,99956;11,506;29,547;0,11208;0,065428;12,611;0,61676;0,39531;20,548;22,817;1526;0,089183;0,37445;0,90914;0,11041;13,563;24,747;131,42;27,774;10,44;0;;15,086;22,817;0,99956;0,29747;0,21916;0,12624;0,15633;0,33714;1,713;2,870901
0,29264;0,29252;0,34415;2,327;108,07;0;0,36131;24,185;12,512;0,70748;0,37144;13,932;0,30276;0,36131;281,85;1,295;34,185;0,36131;0,28876;23,793;18,963;0,35928;0,23389;?;0,61961;10,603;35,457;0,86793;41,328;0,23009;0,28999;106,09;34,404;30,501;0,359;12,512;?;0,70748;0,28692;0,017863;0,025879;0,28714;174,69;150,9;35,879;20,125;33,367;0,34177;0,27314;2,063;0,25934;0,29067;17,842;17,842;4672,6;0,28692;0,41365;0,71408;0;15,34;24,188;75,653;48,247;31,556;0;;34,185;17,842;35,879;1295;0,34415;0,29264;0,36131;0,70748;12,512;14,951487
0,079997;0,23967;0,32124;24,739;81,087;0,20743;0,069715;25,466;10,556;0,61034;0,069715;0,31987;0,067313;0,069715;742,04;0,49189;41,724;0,069715;0,039805;59,273;11,151;0,084917;0,045676;0,2369;0,61034;0,53479;0,51182;0,69713;4,407;0,089541;0,039805;47,948;76,124;0,3543;0,084917;17,847;11,73;0,63206;0,048485;0,3826;0,059204;0,048485;94,991;35,718;0,28127;1,169;62,571;0,03674;0,020977;22,497;0,21795;0,13137;13,245;13,716;8200,8;0,052697;0,13107;0,9473;0,035588;61,579;10,219;45,422;80,358;38,007;0;;41,724;13,716;0,28127;0,49189;0,32124;0,079997;0,069715;0,61034;10,556;11,6497473
0,20817;0,6024;0,47935;21,883;69,659;0;0,25911;0,66002;16,923;0,3976;0,26164;0,6423;0,15635;0,25911;831,04;0,43921;1,66;0,25911;0,15311;43,642;12,443;0,25951;0,12301;?;0,29164;0,35465;102,63;40,885;46,738;0,33935;0,15318;106,42;34,297;22,967;0,3087;16,923;?;0,3976;0,18242;0,095409;0,075779;0,15335;182,1;138,46;10,288;16,867;53,38;0,25404;0,15012;14,654;0,40341;0,29157;33,912;33,912;22619;0,18242;0,52357;0,84731;0;83,634;26,362;87,01;41,949;14,434;0;;1,66;33,912;10,288;0,43921;0,47935;0,20817;0,25911;0,3976;16,923;18,883281
0,26345;0,14318;0,61965;53,277;198,95;0,55971;0,32142;58,624;13,437;0,8394;0,32142;22,448;0,29742;0,32142;147,34;24,773;69,841;0,32142;0,26951;44,903;13,684;0,31094;0,2209;0,69419;0,8394;20,724;35,033;26,127;45,087;-0,14624;0,26951;58,882;61,989;21,717;0,31094;12,094;?;0,8394;0,26072;22,239;0,013675;0,26072;136,01;91,108;17,956;4,303;60,336;0,27765;0,23281;53,277;0,14318;0,16132;35,393;35,393;19993;0,25578;0,31385;0,74422;0;81,287;40,062;43,821;83,294;50,286;0;;69,841;35,393;17,956;24773;0,61965;0,26345;0,32142;0,8394;13,437;16,113736
-0,054623;0,92857;-0,026927;0,94263;-87,724;-0,054623;-0,054623;0,074796;0,92301;0,069453;-0,054623;-0,11637;-0,021237;-0,054623;-21123;-0,017279;10,769;-0,054623;-0,072298;77,569;?;-0,062889;-0,072298;-0,054623;0,069453;-0,017279;-0,76829;-0,048297;47,985;11,752;-0,072298;209,3;17,439;-0,067726;-0,062889;0,78894;0,61391;0,52863;-0,083238;0,092184;-12,558;-0,083238;192,85;115,28;-0,3402;0,60056;71,596;-0,10147;-0,1343;0,4765;0,46939;0,57343;0,12457;0,94816;-1693,2;-0,083417;-0,78648;10,834;66,114;47,055;31,662;226,76;16,096;13,551;0;;10,769;0,94816;-0,3402;-0,017279;-0,026927;-0,054623;-0,054623;0,069453;0,92301;0,6756413
-0,35884;11,171;-0,46577;0,46115;-152,21;-11,752;-0,35884;-0,11206;0,97154;-0,12518;-0,35884;-0,41514;-0,19052;-0,35884;-1339,2;-0,27255;0,89517;-0,35884;-0,22455;40,657;10,345;-0,1916;-0,22455;-0,82224;-0,12518;-0,27255;-11,648;-0,77447;40,712;0,66588;-0,22455;191,81;1,903;-0,17151;-0,1916;16,321;0,87285;0,12756;-0,11989;0,094543;-0,26764;-0,11989;72,377;31,721;-20,159;0,25521;39,499;-0,24597;-0,15392;0,35682;0,86437;0,5255;-0,20815;0,2121;-5487,2;-0,029298;28,666;10,293;-2,019;89,776;11,507;197,43;18,488;26,572;0;;0,89517;0,2121;-20,159;-0,27255;-0,46577;-0,35884;-0,35884;-0,12518;0,97154;-1,34904
0,10248;0,28993;0,07732;12,981;-2,921;0,22034;0,12731;2,095;10,805;0,60739;0,12731;0,4909;0,10245;0,12731;657,45;0,55517;34,491;0,12731;0,081028;17,626;23,868;0,13335;0,065225;0,27078;0,60739;0,46954;0,91705;0,11656;47,376;0,17917;0,081028;65,098;56,069;0,45993;0,13335;15,958;85,243;0,63799;0,08487;0,082504;0,057078;0,08487;73,238;55,612;13,507;10,056;19,046;0,099694;0,063452;11,612;0,25934;0,17835;0,91566;0,96177;4225,5;0,074523;0,16872;0,92548;0,050368;20,708;65,633;60,247;60,584;23,686;0;;34,491;0,96177;13,507;0,55517;0,07732;0,10248;0,12731;0,60739;10,805;11,825813
0,1409;0,7556;0,33886;16,388;-11,094;0,36762;0,1409;0,32344;10,508;0,2444;0,1409;0,26562;0,058424;0,1409;1839,4;0,19844;13,234;0,1409;0,054902;58,71;13,822;0,12079;0,054902;0,36762;0,2444;0,19844;0,49454;25,933;4,383;0,24428;0,054902;79,276;46,042;0,15986;0,12079;26,197;20,278;0,46952;0,047064;0,24451;0,19135;0,047064;105,19;46,479;0,34132;0,86058;61,692;0,11175;0,043543;11,505;0,53048;0,21719;18,704;35,933;8185,6;0,048331;0,57654;0,95167;0,92116;6,217;78,531;75,444;4,838;19,641;0;;13,234;35,933;0,34132;0,19844;0,33886;0,1409;0,1409;0,2444;10,508;11,723502
0,009297;0,78609;0,07811;11,433;-97,822;-0,017464;0,01099;0,27211;0,99192;0,21391;0,12421;0,020155;0,020264;0,01099;14275;0,02557;12,721;0,01099;0,011079;117,33;12,061;0,017641;0,009373;?;0,11239;0,023417;0,1558;0,20739;51,955;0,73003;0,045503;204,63;17,837;12,372;0,019335;0,99192;14,143;0,42922;0,019493;0,15228;0,97951;0,017784;198,83;81,501;0,029159;0,55849;119,66;0,00853;0,0086;0,79299;0,54525;0,56063;0,56794;11,396;12253;0,019493;0,043464;0,99395;10,066;3,111;44,785;200,64;18,192;26,336;0;;12,721;11,396;0,029159;0,02557;0,07811;0,009297;0,01099;0,21391;0,99192;1,2632808
0,001222;0,53108;0,2013;15,431;-44,797;0,042436;0,002745;0,87355;0,99091;0,46393;0,002745;0,007405;0,033226;0,002745;3841,6;0,095012;1,883;0,002745;0,001807;89,269;10,293;-0,007323;0,000805;0,056723;0,46393;0,092145;-0,047783;0,47025;40,949;0,32395;0,001807;88,272;4,135;-0,013789;-0,007323;15,498;12,498;0,62437;-0,004822;0,14504;0,43228;-0,004822;124,54;35,272;0,003291;0,541;88,458;-0,055037;-0,036241;10,769;0,37064;0,24184;10,838;14,586;2504,7;-0,009171;0,002635;10,092;0,34583;40,888;10,348;89,081;40,974;35,477;0;;1,883;14,586;0,003291;0,095012;0,2013;0,001222;0,002745;0,46393;0,99091;1,5215973
0,013079;0,75841;-0,060128;0,90444;-58,08;0,069955;0,012298;0,29958;0,99307;0,22721;0,012298;0,019544;0,015526;0,012298;7099,8;0,05141;13,186;0,012298;0,004897;49,665;12,765;-0,018598;0,005208;0,083487;0,22721;0,05244;-0,073544;-0,13954;42,688;0,29704;0,004897;90,819;4,019;-0,024522;-0,018598;25,558;17,602;0,35639;-0,007406;0,022714;30,806;-0,007406;80,637;30,972;0,038276;0,36138;49,32;-0,04529;-0,018034;0,75038;0,62923;0,24882;0,52728;0,82708;-1116,6;-0,006983;0,057565;1,007;0,56857;73,493;11,785;91,453;39,911;5,828;0;;13,186;0,82708;0,038276;0,05141;-0,060128;0,013079;0,012298;0,22721;0,99307;1,1161364
0,099873;0,57415;0,1756;13,169;-12,568;0,30824;0,11871;0,68902;10,754;0,3956;0,11871;0,21423;0,094556;0,11871;1449,1;0,25189;17,417;0,11871;0,077616;18,053;11,377;0,10364;0,065299;0,37667;0,3956;0,21907;0,72869;0,64973;47,881;0,35053;0,077616;142,21;25,666;0,18051;0,10364;15,671;32,688;0,41561;0,067762;0,25778;0,14571;0,067762;140,06;122,01;13,202;11,804;19,414;0,07773;0,050822;1,271;0,55414;0,38962;14,638;15,378;10781;0,07009;0,25246;0,92991;0,050582;20,218;29,916;132,24;27,601;56,592;0;;17,417;15,378;13,202;0,25189;0,1756;0,099873;0,11871;0,3956;10,754;11,7336452
0,2953;0,34016;0,64812;38,148;145,57;0;0,35799;19,398;16,355;0,65984;0,38165;15,547;0,24433;0,35799;310,7;11,748;29,398;0,35799;0,21889;26,446;14,323;0,37113;0,18056;?;0,65053;0,99045;15,684;53,291;37,471;-0,028571;0,21892;63,903;57,118;38,664;0,32029;16,355;?;0,65984;0,19584;17,438;0,027472;0,22692;106,42;79,978;2,492;33,001;32,886;0,32951;0,20148;25,823;0,23026;0,17508;54,254;54,254;3620,2;0,19584;0,44753;0,7905;0;13,802;45,637;51,388;71,028;13,448;0;;29,398;54,254;2,492;11748;0,64812;0,2953;0,35799;0,65984;16,355;19,123435
0,12446;0,41949;0,43815;20,445;14,774;0,017406;0,12446;13,839;30,598;0,58051;0,15777;0,2967;0,069518;0,12446;719,81;0,50708;23,839;0,12446;0,040676;37,759;10,018;0,15501;0,040676;?;0,14187;0,50708;46,537;30,778;33,665;0,060254;0,042258;52,488;6,954;6,954;0,14271;30,598;?;0,58051;0,046639;0,57368;0,057481;0,05066;73,6;35,841;0,39321;12,899;39,606;0,06676;0,021818;20,445;0,41949;0,1438;40,778;40,778;1019;0,046639;0,2144;0,95959;0;96,667;10,184;50,04;72,942;21,493;0;;23,839;40,778;0,39321;0,50708;0,43815;0,12446;0,12446;0,58051;30,598;32,057048
